order_id,products
1185796,None
2526474,16696
444818,1463 1463 1463 1463 1463 1463
828980,21903 47626 21903
2227473,6334
2476114,None
2344456,27985 27985
904581,26209 26209 26209
1833381,27845 13176 27845
1011565,None
39313,42240 42240 42240
2806105,13176 21137 47626 34358 34358 31553
815646,3873 13176 14999 14999 48370
247246,24852 13249 13249 30489
1894041,None
2405775,None
947620,24852 47766 22035 16797 34448 34448
2931275,None
1297585,4210 12212 12519 12212
1461848,None
256233,24852 47766 5077 5077 5077
543208,24852 5785 27086 28204 28204 47209 30489 30489
218740,14947 14947 35221 26620 26620 26620 47626
2815125,17122 17122 48527 17122 17122 17122 17122 17122 17122
1210060,6209 23313 4605
1284310,13176 49235 49235 49235 27966 27966 49235 33198 33198 49235 33198 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235 49235
74459,None
3161004,24852 47766 47766 47766 47766
779065,12341 13176 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341 12341
3031297,27845
2693252,13176 42265 42265 42265 42265 42265
681211,24852 21903
2354630,24852 47766 47766 47766 47766 47766 47766 47766 47766 47766
2112400,None
2921976,25931
1516983,42992 18839 3957
1691986,13176
979711,21137 13176 47626
3069528,None
1743207,13176 27966 47209 47209 47209 47209 47209 27966 47209 47209 47209 47209 47209 21137 21137 21137
1511832,9411
3167890,8565 15522 44177 44177 17212 17212 39228 39308
631114,None
1146379,27985
1298690,21292 30827
1295265,None
167678,43772 24852 16797 16797 16797 16797 16797 16797 16797 19389 19389 19389 19389 19389 40332 40332 40332
563110,24852 45066 45066
277280,49520 49520 10957 46484
813053,27845 24852 27845 27845 27845 27845
2435807,None
1494477,39448 42450 42450 19125
967866,None
1894766,196
3096551,None
3105393,None
681913,24852 47766 47766 21903 8424 8424 8424 47626
897382,4210 4210 4210 4210 4210 47626 4210 4210 4210 8193
342589,24852 16797 16797 16797 16797 24852 33651
1634163,47626 47626
3345285,24852 45603 44632 45603 45603 45603 45603 45603 45603 45603 45603 45603 45603 48559 45603
569612,24852 27966 21137 15290 15290 42265 42265 42265
1123444,13176 14999 14999 14999 14999 14999 14999 14999 14999 14999 14999
474081,23662 23662 23662
2863767,None
1744045,None
2621231,4210 45064 4210 4210 8351 4210 14147 27323 27323 4210 743 743 743 743
3156392,8859 13176 46979 46979 46979 44142 44142 44142
307223,47766 24852 47766
1023708,19348
378897,None
22935,27845 24852 21903 8424
395589,21903
1555667,36865 8309 13176 45066 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265
2898364,24852
3107956,27845 27845
1123141,34197 33642 33642 33642 34864 34864 4071 34864 17281 17281 17281
3005653,None
3355652,38689 13176 21137 21137 21137 21137
3104809,35886 39275
1085311,16696 16696 16696 16696
3077347,47766 47766 47766 47766 47766
3357379,8048 8048 21292 21292 21292 21292
73393,5479 13176 26209 21903 26209 21903 21903 46667
2338288,44632 47766 47766 47766 47766 30320
357866,None
2941498,21903 24852 21903
1584087,22935 22935 24964 24964
967738,33198 14233 14233 14233
1184756,None
184486,24852 5785 28204 37646 28204 28204 28204 28204 28199
1325063,24852 5450 5450 21137
1161409,13176 47209 27845 27845 27845 21137 27845 27845 27845 27845 27845 21137 21137 27845 27845 27845 21137
630214,23909 44799 44799
40033,31717 47626 47626 44632 44632
75242,None
592945,41290 47141 10673
2352083,12341 8571
1702462,47209 44632 30489
2591361,None
1868610,47766
3212537,38689 24852 47626 47626 47626 47626
956088,27845 27845 27845 27845 21903 26209 26209
3035190,5785 5785
2297118,20940 43352 43352
1349821,27652
759220,27845
3243714,None
1446421,21386 14999
1910618,43154 43154
3276811,4889 15100 4889 24852 4889 4605 45862 2489
2060629,18465 13176 21137 21137 21137
1039214,31981
1283884,47626
121748,13176 21903
101828,25705
1385011,None
1200207,24852 32747 39993
850016,44632
450934,None
1836277,None
3065901,30489
3330298,6184
2116486,32079
1149268,None
1969326,32655 32655 30489 21903 22935 22935 22935 22935 27156 27156 27156 27156
2859662,None
2243425,6184 6184 13575
1016829,8193 24852
652916,41651 24852 20561
1665377,None
1605881,25456
2121844,13176 13176 27966 27966 27966 27966 27966 27966 27966 27966 1940 27966 27966 27966 27966 27966 1940 22624 48370 27966 27966 27966 48370 14999 14999 14999 14999 14999 43961 43961 14999 43961 43961 43961 43961 43961
1484749,13176 21137 21137
1259883,47766 24852 42585 42585
1475660,33198
2241837,47766 47766 47766 47766 47766 42585 42585
2828205,35951 24082
2068639,None
1320953,None
1841956,None
193473,None
2201408,5782 5782 49610
2843825,5782 5782 5782 24852
219858,None
260676,47766 21903 21903 21903 40706
2837718,39993
522987,12606 26553 26553 26553 18725 18725 18725 12606
2009137,33452 41290 33452 33452 33452
3099099,24852 47766 47766 47626 47626 47626 47626 47626 47626 47626
1479446,27845
2184521,47766 16083 16083 16083 24852 16083 21137 21137
2738156,None
1978347,None
1044474,24852 21137
1394996,24852 47766 21903 21903 47626 4605 4605
2232486,47766 21903 21903 21903
506211,21903 13176 27845 21903 21903
301461,None
1745255,24852 38511 38511 38511 2097 41178
2272054,24852
1285371,38928
3152452,47766 47766 47766 47766 30489 30489 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265 42265 1158 42265 47626 28849 28849 28849 47626 26209 26209 26209
3191049,1940 1940
2089117,13176 16797 16797
2900739,11365 11365
1146782,27845 27086 24852 21137 21137 21137 21137
328728,13176
2275205,24838 30776 9421 30776
1843514,24852 47626 47626 4605 44142 28842 28842 28842 28842 28842 28842 28842
929704,13176 27845 47209 47209 21903 8518 8518 31717 31717 31717 31717 31717
1009697,13176
745677,47766 47766 44632
427521,27966 47209
1131777,22935
851476,5463 20113 48559 45448 38312 38312 38312 38312 38312 38312 38312 15984 38312
3277966,None
2942567,47209 47209 47209
1655386,32650 32650
2520002,24852 47766 21903 21903 21903 21903 21137 21137 21137
1395127,24964 26209 26209 26209
2117571,24964 5876 24964 24964 24964 5876 5876 5876 5876
1556492,19348 5782 5782 16953 20561
1719653,30233 29447 29447 29447 30233 29447 30233 30233 30233 30233 30233 29447 30233 365 365 365 365 365 365 365 365
3317815,29509 36173
3051267,47209 47209 47209 47209 27966 3957 29801
2051126,None
2768703,13176 28204 47626 47626 26209 26209 47626 26209 47626 26209
1228961,None
1990570,24852 35951 42585 42585 21903 42585 42585
2717796,None
1685403,3957 3957
1175733,1511 1511 38689
2263466,27845 27845 38689 24852 47766 47766 47766 47766 47766 21137 21137
857289,8859 42372 42372 42372 42372 44156 44156 42372 44156 2245 2245 18201 31517 34678 1217 27360
495279,24964 24964 24964 24964 24964 24964 24964
1874817,None
1399007,13176 27966 27966 27966 47209
1191465,None
1272414,44632 35221 35221 35221 35221
139899,12384 12384 24852
1354416,4210 5077 5077 5077 5077 5077
1794686,13176
509076,24852 27845 27845
868558,1940 13176 32566 43772
2256808,24852
1503328,43772
1979993,24852 44632 44632 33754 40571 40571 40571 33787 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 33754 4957 33754 33754 4957 4957 4957 4957 4957 4957 4957 4957 4957 4957 4957 47626
1115783,5514 27845 21137 21137
2759321,None
1117190,24852 21903
1794622,45190
3007538,13176 47766 16083 47766 16083 47766 16083 47766 16083 8193
580496,24852
1967178,34969 47626
1388207,24852 47766 47766 47766 21903 47626 47626 47626
154570,24964 24964
1500916,13176 47209 21137
980466,43154
3403640,22035 13176 22035 22035 22035 22035 22035 22035 47209 47209 21137 21137
2913281,27845 47626 47626 24852 47626 31717 31717 31717
269761,38312 15984 15984 35951 35951 35951 3957 3957 40756
1164225,31553 33198
3193696,None
1851421,5479 27086 11712 5876 26209 26209 26209 26209 26209 26209 26209 26209 26209 26209
3375457,5479 5479 47766 47766 5479 21137 21903
119644,12341 12341
706616,49279 1094 1094 1094 1094
164738,13176 27966 32578 32578 21137 21137
2573367,23341
1962917,None
1895908,None
3249666,27744
1757574,32828
2181910,35951 35951 35951 42585 35951 35951 35951 42585 42585 42585 21903 21903 42585
1686136,24852 45066
937479,16797 16797
1759798,None
1019098,22610 14648 45064
129098,24852 28204 28204
1256329,47626 16797 16797 16797
1231452,48370 39097 38739 46979 44142 20114 20114 20114 20114 20114 20114 42512 42512 21050 38758 20114 20114
2956267,13176 26949 8230 8230 8230 8230 46616 20947 20947 37496
2053468,22929 22929 31960
1529859,4605
3001942,None
3111818,10957 47877 43631 3389
1275461,11520 11520 11520 47209 11520 47209 47209 47209 26209 26209 26209 26209 26209 26209 26209 44359 44359 44359 44359 44359 44359 31717 31717 31717 31717 31717 31717 31717 44359
2564810,47766 47766 47766 47766 47766 47766
1546374,27845 29447
1782507,13176 27966 27966 47209 47209 47209
533245,None
2631583,None
827625,None
3071048,27845 27845 27845
13433,None
1880837,None
3407368,30776 7035 7035
853692,None
35868,31912
636345,38689 38689 21903 21137 21137
1359086,27966
2042865,None
2315574,None
15066,40199
934720,44632 5479
1549715,34358 34126 34126 34358 15937 15937
1767025,None
1816499,None
3392612,None
2967907,16797 16797 16797 17264 24816 24852
895210,16797 24852 16797 27747 21137 21137 16797
1819635,13176 27966 47209 27966 21137 21137
1526668,None
330811,17008 24852 49279 3856 3856 49279 3856 17008 24852 34407 43772 16797 43772 43772 11827
1070652,6046 44799 44799
1595844,38689 24852 38689 28204 4920 4920 4920 4920 4920 4920
